kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
562343,Arnoltice,333,233,232,92,1,0,1,0,14,2,0,33,0,3,0,0,1,10,1,2,1,15,6,30,20,0,0
562351,Benešov nad Ploučnicí,2993,1625,1618,577,15,3,5,13,173,17,3,121,5,17,1,5,9,99,9,16,20,235,37,132,100,0,6
544647,Bynovec,256,163,162,47,1,0,0,2,16,1,0,13,0,1,0,0,0,3,1,5,3,28,10,21,10,0,0
562394,Česká Kamenice,4225,2332,2321,846,3,1,2,5,235,40,3,204,18,19,4,3,10,144,10,20,22,296,74,189,168,2,3
562335,Děčín,39425,20914,20773,8020,21,19,15,61,1568,447,59,1798,143,166,11,17,95,792,88,333,274,2667,840,1851,1439,8,41
562408,Dobkovice,528,307,303,133,0,0,0,1,26,4,1,16,1,6,0,1,2,17,1,4,4,49,5,9,23,0,0
545783,Dobrná,372,213,213,101,0,0,0,1,22,7,2,11,1,5,0,0,4,3,0,4,0,22,8,13,8,1,0
545856,Dolní Habartice,451,280,279,110,0,0,0,0,37,2,1,14,2,2,0,1,3,13,1,3,1,39,9,26,15,0,0
562432,Dolní Podluží,949,516,514,188,2,1,0,6,52,19,0,45,0,6,1,1,2,26,3,8,3,78,12,38,23,0,0
562441,Dolní Poustevna,1250,563,557,180,1,2,1,4,52,11,0,62,2,13,1,1,4,19,6,6,7,84,25,46,29,0,1
530417,Doubice,147,118,117,23,0,0,0,0,3,5,0,23,0,1,0,0,0,12,0,0,1,15,21,11,2,0,0
545899,Františkov nad Ploučnicí,334,185,184,95,0,0,0,2,16,1,0,6,2,1,0,0,0,12,2,2,5,16,4,11,9,0,0
562483,Heřmanov,403,223,222,88,1,0,1,2,25,3,0,11,2,2,0,0,3,4,1,4,2,39,7,16,11,0,0
545929,Horní Habartice,335,196,194,73,0,0,0,1,25,1,1,14,4,2,0,0,2,13,0,2,4,19,2,9,22,0,0
562505,Horní Podluží,627,359,356,127,9,0,0,1,34,5,1,24,0,6,0,0,0,25,1,5,3,54,10,34,17,0,0
562513,Hřensko,215,128,128,33,0,0,0,0,7,1,2,27,0,2,0,0,0,5,0,3,2,24,6,11,5,0,0
562521,Huntířov,656,353,350,150,3,0,0,0,42,3,0,23,0,6,0,1,1,14,0,4,2,40,7,31,21,0,2
562530,Chřibská,1127,582,574,238,0,1,2,11,53,7,1,41,0,6,1,1,0,15,4,14,12,63,19,44,39,0,2
544680,Janov,320,221,220,96,1,0,0,2,16,1,2,26,1,2,0,0,0,3,0,1,1,19,16,17,14,2,0
530395,Janská,174,90,89,27,0,0,0,7,14,0,0,3,0,1,0,1,0,7,1,0,0,16,3,5,4,0,0
562556,Jetřichovice,398,277,276,81,0,1,0,0,35,2,0,45,0,4,0,0,0,8,0,5,4,37,17,28,9,0,0
562564,Jílové,4199,2352,2342,974,3,2,1,13,189,68,3,175,16,18,8,3,14,61,6,40,32,294,56,191,175,0,0
562572,Jiřetín pod Jedlovou,527,358,358,110,2,1,0,2,25,25,0,24,1,4,1,1,1,52,4,2,4,25,15,38,21,0,0
562581,Jiříkov,2868,1414,1403,627,3,0,0,5,99,19,1,83,2,9,1,2,9,91,8,9,17,229,30,68,88,1,2
546453,Kámen,182,115,115,47,0,0,0,0,11,1,0,13,2,0,0,1,1,4,0,1,0,24,0,6,4,0,0
562611,Krásná Lípa,2861,1329,1320,499,4,3,0,11,126,15,1,96,8,6,1,3,4,123,10,15,12,154,50,100,79,0,0
546330,Kunratice,198,121,121,35,1,0,0,0,14,6,0,5,0,0,0,2,1,8,0,2,1,13,11,19,3,0,0
562645,Kytlice,428,244,243,68,0,0,0,2,13,5,0,33,4,3,0,0,0,11,1,3,4,42,20,25,9,0,0
544701,Labská Stráň,190,126,125,53,0,0,0,0,10,0,0,16,1,1,0,0,1,3,1,0,4,7,5,14,9,0,0
562661,Lipová,493,250,245,84,0,0,0,2,24,6,0,19,1,10,0,0,0,20,8,2,4,21,4,23,17,0,0
545708,Lobendava,245,106,106,22,0,0,0,0,34,6,0,3,0,0,0,0,0,6,2,0,0,15,3,10,5,0,0
546496,Ludvíkovice,721,458,458,172,0,0,0,1,43,20,0,32,2,5,1,1,0,35,3,7,5,69,14,26,21,1,0
562700,Malá Veleň,372,212,210,75,0,0,0,3,20,1,0,18,1,3,0,0,0,14,0,4,2,38,5,11,13,0,2
562718,Malšovice,693,461,459,186,0,0,2,1,36,9,0,36,4,5,0,0,1,14,0,8,4,92,14,18,29,0,0
545678,Markvartice,550,338,338,131,3,1,2,2,29,8,0,20,0,2,1,0,3,24,1,4,3,39,10,35,18,0,2
545791,Merboltice,160,109,107,42,0,0,0,0,8,2,0,2,1,1,0,1,0,5,0,1,7,10,9,13,4,0,1
562751,Mikulášovice,1746,802,796,275,0,0,0,4,82,16,4,71,6,13,4,3,1,58,7,5,8,100,32,59,48,0,0
562777,Rumburk,8789,4633,4611,1933,8,2,3,13,369,81,6,404,29,41,0,1,4,173,35,78,51,505,179,390,295,3,8
566900,Růžová,436,271,269,93,0,0,0,0,17,3,2,33,2,2,1,0,2,20,0,1,4,37,14,23,14,0,1
562793,Rybniště,551,311,309,124,0,0,0,1,28,4,0,26,7,2,0,0,1,24,1,7,3,33,6,25,17,0,0
546348,Srbská Kamenice,210,155,153,61,0,0,0,0,19,7,0,7,0,2,0,1,3,13,1,2,2,15,4,11,4,0,1
562823,Staré Křečany,1013,469,469,197,1,0,0,8,28,10,1,21,2,5,0,1,2,51,0,11,5,56,13,34,23,0,0
545538,Starý Šachov,169,99,97,45,0,0,0,0,9,0,0,6,0,0,0,0,2,10,1,0,0,18,0,1,5,0,0
562858,Šluknov,4303,1864,1860,802,3,3,0,8,180,35,5,129,6,24,2,1,9,109,8,24,26,194,49,112,129,0,2
555193,Těchlovice,418,231,230,95,0,2,1,3,27,2,0,14,2,4,0,1,2,3,0,5,2,37,2,19,7,0,2
562874,Valkeřice,323,160,160,77,0,0,0,1,26,0,0,7,0,0,0,0,2,3,0,2,0,22,4,11,5,0,0
562882,Varnsdorf,12315,6310,6272,2460,11,6,3,53,505,116,17,520,20,64,5,7,13,217,103,61,64,907,163,525,422,7,3
562891,Velká Bukovina,397,214,212,83,0,0,0,1,16,3,0,16,0,1,0,1,2,17,1,4,4,24,7,13,18,0,1
562912,Velký Šenov,1591,745,741,267,2,0,1,4,65,19,1,58,7,9,3,0,1,28,6,13,1,109,22,58,63,1,3
562921,Verneřice,908,430,429,197,0,0,1,0,47,4,0,29,3,1,0,0,1,18,3,1,6,55,14,27,20,1,1
562939,Veselé,287,170,170,77,0,0,0,0,7,2,2,7,0,2,0,0,1,5,0,0,2,23,1,12,29,0,0
562947,Vilémov,771,374,372,169,0,0,0,1,31,10,1,27,1,5,0,0,0,16,4,3,2,33,10,34,25,0,0
